Symbol,Name,Sector,Price,Dividend Yield,Price/Earnings,Earnings/Share,Book Value,52 week low,52 week high,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings
JCI,Johnson Controls,Consumer Discretionary,37.46,2.94,15.83,2.37,16.03,37.15,54.52,24.26,3.09,0.67,2.41,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=JCI
JOY,Joy Global,Industrials,11.09,0.32,,-12.08,14.55,10.42,45.29,1.09,0.40258999999999995,0.36,0.81,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=JOY
JPM,JPMorgan Chase & Co,Financials,62.83,2.67,10.69,5.88,59.68,50.07,70.61,231.26,0.00,2.63,1.07,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=JPM
JNPR,Juniper Networks,Information Technology,27.04,1.45,,-0.83,11.51,21.24,32.39,10.43,0.974,2.29,2.39,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=JNPR
KSU,Kansas City Southern,Industrials,72.01,1.77,16.37,4.40,35.45,69.70,120.63,7.86,1.09,3.28,2.09,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KSU
K,Kellogg Co,Consumer Staples,71.81,2.77,70.89,1.01,7.52,61.13,73.68,25.45,1.62,1.83,9.55,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=K
GMCR,Keurig Green Mountain,Consumer Staples,90.06,1.44,28.68,3.14,17.68,39.80,139.74,13.41,1.07,2.96,5.08,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GMCR
KEY,KeyCorp,Financials,12.74,2.27,11.92,1.07,12.47,12.04,15.70,10.64,0.00,2.62,1.03,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KEY
KMB,Kimberly-Clark,Consumer Staples,128.65,2.77,79.81,1.61,0.15,103.04,130.05,46.70,4.22,2.48,866.31,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KMB
KIM,Kimco Realty,Financials,26.55,3.85,21.53,1.23,11.93,22.07,28.54,10.97,0.72184,9.68,2.23,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KIM
KMI,Kinder Morgan,Energy,15.04,3.35,28.54,0.53,15.94,14.22,44.71,33.56,6.43,2.36,0.98,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KMI
KLAC,KLA-Tencor Corp,Information Technology,66.56,3.00,26.93,2.47,1.89,44.95,71.13,10.38,0.83499,3.81,36.41,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KLAC
KSS,Kohl's Corp,Consumer Discretionary,49.95,3.78,13.27,3.76,28.66,41.86,79.60,9.48,2.58,0.49,1.74,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KSS
KHC,Kraft Heinz,Consumer Staples,73.12,3.16,,-0.55,48.48,61.42,81.20,88.73,3.15,6.36,1.51,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KHC
KR,Kroger Co,Consumer Staples,42.16,1.00,20.86,2.02,6.49,27.32,42.75,41.09,5.60,0.38,6.48,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KR
LB,L Brands,Consumer Discretionary,95.46,2.09,23.97,3.98,-2.26,75.11,101.11,27.63,2.52,2.36,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LB
LLL,L-3 Communications Holdings,Industrials,118.17,2.18,75.65,1.56,58.02,101.11,132.92,9.26,1.22,0.81,2.06,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LLL
LH,Laboratory Corp American Holdings,Health Care,121.50,0.00,26.48,4.59,48.55,105.77,131.19,12.30,1.57,1.59,2.51,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LH
LRCX,Lam Research,Information Technology,73.62,1.51,16.17,4.55,33.89,61.20,84.49,11.66,1.32,2.17,2.31,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LRCX
LM,Legg Mason,Financials,37.6801,2.0400,13.4188,2.8080,41.1930,37.6500,59.1900,4.06,0.58554,1.4866,0.9390,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LM
LEG,Leggett & Platt,Consumer Discretionary,40.79,3.05,21.97,1.86,8.01,39.58,51.28,5.55,0.546,1.44,5.18,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LEG
LEN,Lennar Corp,Consumer Discretionary,46.24,0.33,13.26,3.49,25.51,41.25,56.04,9.73,1.14,1.04,1.83,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LEN
LUK,Leucadia National,Financials,16.895,1.440,29.956,0.564,28.611,15.930,25.390,6.12,1.40,0.520,0.596,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LUK
LVLT,Level 3 Communications,Telecommunication Services,52.97,,104.48,0.51,19.05,40.86,57.08,18.87,2.50,2.37,2.82,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LVLT
LLY,Lilly (Eli),Health Care,84.69,2.42,38.18,2.22,14.34,68.31,92.85,89.89,5.31,4.53,5.87,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LLY
LNC,Lincoln National,Financials,47.52,1.99,10.10,4.70,58.19,45.56,62.08,11.76,1.71,0.87,0.84,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LNC
LLTC,Linear Technology Corp,Information Technology,41.0499,2.8300,20.0243,2.0500,6.6310,36.4100,49.5700,9.82,0.71238,6.9329,6.3218,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LLTC
LMT,Lockheed Martin,Industrials,217.92,3.04,19.34,11.27,9.15,181.91,227.91,66.97,5.95,1.47,23.84,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LMT
L,Loews Corp,Financials,37.1135,0.6500,20.5501,1.8060,52.5200,34.4000,42.7800,13.15,3.19,0.9876,0.7214,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=L
LOW,Lowe'sCompanies,Consumer Discretionary,74.505,1.470,23.637,3.152,9.136,64.220,78.130,68.18,6.95,1.183,8.257,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LOW
LYB,LyondellBasell Industries,Materials,83.70,3.59,8.98,9.32,16.18,71.74,107.32,37.62,7.13,1.10,5.42,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LYB
MTB,M&T Bank,Financials,116.63,2.31,15.59,7.48,87.69,111.50,134.00,15.55,0.00,3.58,1.35,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MTB
MAC,Macerich Co,Financials,82.10,3.37,8.57,9.58,34.24,71.98,95.93,13.00,0.80068,9.87,2.41,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MAC
M,Macy's,Consumer Discretionary,36.484,4.120,9.447,3.862,12.632,34.050,73.610,11.47,3.67,0.421,2.926,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=M
MNK,Mallinckrodt plc,Health Care,71.982,,26.166,2.751,45.675,52.010,134.260,8.35,1.32,2.536,1.603,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MNK
MRO,Marathon Oil,Energy,11.555,5.400,,-0.718,28.560,11.500,31.530,7.83,2.31,1.268,0.447,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MRO
MPC,Marathon Petroleum,Energy,48.34,2.47,7.65,6.32,22.99,37.62,60.38,25.76,7.10,0.38,2.20,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MPC
MAR,Marriott International,Consumer Discretionary,63.84,1.49,20.88,3.06,-13.94,63.72,85.00,16.42,1.45,5.92,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MAR
MMC,Marsh & McLennan,Financials,54.185,2.240,19.290,2.809,11.969,50.900,59.990,28.27,2.77,2.232,4.576,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MMC
MLM,Martin Marietta Materials,Materials,132.25,1.17,33.30,3.97,64.27,104.53,178.67,8.75,0.76551,2.70,2.07,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MLM
MAS,Masco Corp,Industrials,27.58,1.34,25.54,1.08,-0.48,20.41,30.61,9.15,1.09,1.06,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MAS
MA,MasterCard,Information Technology,93.89,0.78,28.83,3.26,5.57,74.61,101.76,105.42,5.49,11.10,17.01,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MA
MAT,Mattel,Consumer Discretionary,26.59,5.59,30.05,0.88,7.58,19.45,30.44,9.02,0.83413,1.62,3.60,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MAT
MKC,McCormick & Co,Consumer Staples,84.63,2.01,27.43,3.09,13.63,70.70,87.46,10.84,0.6871,2.53,6.19,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MKC
MCD,McDonald's Corp,Consumer Discretionary,118.95,3.01,25.76,4.62,9.05,87.50,120.23,109.22,8.91,4.27,13.17,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MCD
MHFI,McGraw Hill Financial,Financials,95.02,1.34,411.34,0.23,2.43,84.64,109.13,25.68,2.17,4.92,39.08,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MHFI
MCK,McKesson Corp,Health Care,193.46,0.57,25.31,7.64,38.19,160.10,243.61,44.52,4.21,0.24,5.12,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MCK
MJN,Mead Johnson Nutrition,Consumer Staples,78.04,2.09,23.23,3.36,1.78,69.20,105.45,15.38,1.07,3.64,43.49,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MJN
MDT,Medtronic Plc,Health Care,75.82,1.98,43.33,1.75,37.17,55.54,79.50,106.61,7.71,4.14,2.04,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MDT
MRK,Merck & Co,Health Care,52.89,3.48,14.03,3.77,16.27,45.69,63.62,147.75,14.57,3.73,3.27,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MRK
MET,MetLife,Financials,44.88,3.11,8.70,5.16,63.24,44.49,58.23,49.89,10.07,0.72,0.73,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MET
KORS,Michael Kors Holdings,Consumer Discretionary,40.58,,9.49,4.27,10.27,36.63,73.47,7.44,1.36,1.66,3.96,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KORS
MCHP,Microchip Technology,Information Technology,45.20,3.08,26.14,1.73,10.49,37.77,52.44,9.18,0.73476,4.32,4.35,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MCHP
MU,Micron Technology,Information Technology,14.225,0.000,7.744,1.837,11.885,13.500,33.870,14.72,4.82,1.025,1.247,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MU
MSFT,Microsoft Corp,Information Technology,54.185,2.600,36.027,1.504,9.698,39.720,56.850,432.83,32.44,4.845,5.676,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MSFT
MHK,Mohawk Industries,Consumer Discretionary,183.74,,,49.90,64.25,153.52,212.16,13.58,1.33,1.71,2.90,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MHK
TAP,Molson Coors Brewing,Consumer Staples,91.355,1.750,40.423,2.260,39.170,63.910,95.740,16.86,0.6727000000000001,4.624,2.365,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TAP
MDLZ,Mondelez International,Consumer Staples,43.87,1.52,8.55,5.13,18.77,33.97,48.58,69.72,4.83,2.26,2.35,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MDLZ
MON,Monsanto Co,Materials,95.37,2.19,19.84,4.81,14.94,81.22,126.00,41.95,4.73,2.84,6.48,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MON
MNST,Monster Beverage,Consumer Staples,145.86,,50.63,2.88,22.96,111.92,160.50,29.57,0.9583200000000001,11.04,6.36,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MNST
MCO,Moody's Corp,Financials,97.20,1.47,20.82,4.67,-2.38,85.50,113.87,19.22,1.60,5.57,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MCO
MS,Morgan Stanley,Financials,30.61,1.89,18.86,1.62,34.97,30.15,41.04,59.27,0.00,1.71,0.89,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MS
MOS,Mosaic Co,Materials,26.92,2.90,8.16,3.30,27.27,26.90,53.83,9.49,2.27,1.09,1.04,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MOS
MSI,Motorola Solutions,Information Technology,65.54,2.40,26.21,2.50,-1.74,56.40,72.97,11.57,1.26,2.01,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MSI
MUR,Murphy Oil,Energy,20.42,5.10,,-7.45,35.04,20.33,52.00,3.51,1.67,1.16,0.64,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MUR
MYL,Mylan NV,Health Care,54.34,0.00,30.27,1.79,19.96,37.59,76.69,26.72,2.64,2.95,2.71,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MYL
NDAQ,Nasdaq,Financials,57.61,1.72,27.05,2.13,33.80,44.82,60.11,9.46,1.05,2.73,1.70,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NDAQ
NOV,Natl Oilwell Varco,Energy,31.56,4.76,9.39,3.36,48.24,31.55,64.20,11.86,3.08,0.71,0.70,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NOV
NAVI,Navient Corp,Financials,11.12,5.59,4.49,2.47,10.72,10.62,22.41,4.03,0.00,1.73,1.06,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NAVI
NTAP,NetApp,Information Technology,24.96,2.71,19.36,1.29,10.23,24.69,40.89,7.30,0.6635,1.26,2.48,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NTAP
NFLX,NetFlix,Consumer Discretionary,110.42,,293.67,0.38,5.07,45.26,133.27,47.19,0.37209,7.14,21.23,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NFLX
NWL,Newell Rubbermaid,Consumer Discretionary,42.335,1.720,29.667,1.427,6.682,36.330,50.900,11.31,0.9914,1.972,6.498,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NWL
NFX,Newfield Exploration,Energy,30.845,,,-15.388,12.565,22.310,41.340,4.99,1.67,3.107,2.586,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NFX
NEM,Newmont Mining,Materials,18.70,0.56,19.42,0.96,21.82,15.39,27.90,9.89,3.49,1.23,0.84,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NEM
NWSA,News Corporation,Consumer Discretionary,12.73,1.50,,-0.07,19.98,12.16,17.55,7.40,0.757,0.87,0.64,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NWSA
NEE,NextEra Energy,Utilities,104.21,2.96,14.97,6.96,48.46,93.74,112.64,47.99,8.46,2.66,2.16,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NEE
NLSN,Nielsen Holdings plc,Industrials,46.26,2.40,36.03,1.28,12.16,41.92,49.37,16.84,1.54,2.73,3.82,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NLSN
NKE,NIKE,Consumer Discretionary,61.91,1.02,30.14,2.05,7.86,45.35,68.19,105.66,5.09,3.40,7.94,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NKE
NI,NiSource,Utilities,19.9342,3.1800,16.8079,1.1860,11.9330,16.0400,20.1300,6.35,1.80,1.0283,1.6618,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NI
NBL,Noble Energy,Energy,31.87,2.19,,-0.07,29.64,29.13,53.68,13.39,2.58,4.33,1.14,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NBL
JWN,Nordstrom,Consumer Discretionary,48.813,2.970,13.983,3.491,7.594,48.360,83.160,8.98,1.79,0.643,6.580,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=JWN
NSC,Norfolk Southern,Industrials,80.755,2.790,14.582,5.538,40.624,72.100,112.050,24.11,4.16,2.261,2.025,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NSC
NTRS,Northern Trust,Financials,69.33,2.00,17.43,3.98,36.31,61.10,79.25,16.03,0.00,3.48,1.95,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NTRS
NOC,Northrop Grumman,Industrials,191.45,1.69,18.49,10.36,31.16,144.88,193.99,34.92,3.62,1.47,6.17,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NOC
NRG,NRG Energy,Utilities,11.225,4.930,,-0.039,28.855,8.800,27.420,3.53,3.18,0.237,0.415,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NRG
NUE,Nucor Corp,Materials,39.41,3.72,20.17,1.95,24.12,36.76,50.70,12.60,1.94,0.71,1.66,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NUE
NVDA,NVIDIA Corp,Information Technology,32.2101,1.4000,30.1029,1.0700,8.2990,18.9400,33.9400,17.33,1.08,3.6413,3.9631,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NVDA
ORLY,O'Reilly Automotive,Consumer Discretionary,244.10,,27.95,8.73,20.28,179.00,277.96,24.08,1.69,3.14,12.23,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ORLY
OXY,Occidental Petroleum,Energy,66.06,4.44,,-7.88,39.13,63.60,83.74,50.45,5.95,3.74,1.75,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=OXY
OMC,Omnicom Group,Consumer Discretionary,72.58,2.64,16.65,4.36,10.23,64.12,80.98,17.58,2.23,1.18,7.23,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=OMC
OKE,ONEOK,Energy,24.0606,9.9800,16.1048,1.4940,1.9810,18.8400,51.5300,5.04,1.40,0.6119,12.8067,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=OKE
ORCL,Oracle Corp,Information Technology,35.95,1.64,17.33,2.07,10.91,35.14,45.33,151.03,15.21,4.00,3.27,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ORCL
OI,Owens-Illinois,Materials,16.04,,,-0.44,4.78,15.85,26.62,2.58,0.874,0.43,3.41,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=OI
PCAR,PACCAR,Industrials,47.54,2.03,10.25,4.64,20.77,45.04,68.44,16.80,2.86,0.84,2.27,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PCAR
PH,Parker-Hannifin,Industrials,94.18,2.60,14.42,6.53,35.68,93.47,128.29,12.81,1.77,1.05,2.66,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PH
PDCO,PattersonCompanies,Health Care,44.34,1.95,23.93,1.85,13.84,42.62,53.07,4.37,0.46429000000000004,0.87,3.19,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PDCO
PAYX,Paychex,Information Technology,50.98,3.18,25.38,2.01,5.15,41.59,54.78,18.40,1.22,6.54,10.01,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PAYX
PYPL,PayPal Holdings,Information Technology,33.85,,36.16,0.94,10.82,30.00,42.55,41.35,1.90,4.72,3.17,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PYPL
PNR,Pentair plc,Industrials,47.77,2.67,17.56,2.72,25.16,47.76,69.65,8.61,1.08,1.36,1.94,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PNR
PBCT,People's United Financial,Financials,15.66,4.15,18.55,0.84,15.65,13.97,16.95,4.74,0.00,3.86,1.01,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PBCT
POM,Pepco Holdings,Utilities,25.905,4.150,28.188,0.919,17.146,21.610,27.500,6.57,1.26,1.319,1.513,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=POM
PEP,PepsiCo,Consumer Staples,99.07,2.81,29.40,3.37,9.31,76.48,103.44,144.33,12.10,2.25,10.69,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PEP
PKI,PerkinElmer,Health Care,52.80,0.52,34.17,1.54,18.36,42.27,54.52,5.91,0.3552,2.62,2.89,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PKI
PRGO,Perrigo,Health Care,144.72,0.35,142.86,1.01,73.31,140.40,215.73,21.19,1.45,4.18,1.95,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PRGO
PFE,Pfizer,Health Care,31.84,3.72,23.90,1.33,10.82,28.47,36.46,196.55,19.48,4.15,2.97,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PFE
PCG,PG&E Corp,Utilities,52.82,3.42,29.17,1.81,33.80,47.33,60.21,25.91,4.13,1.53,1.57,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PCG
PM,Philip Morris International,Consumer Staples,87.94,4.64,18.92,4.65,-8.77,75.27,90.27,136.25,12.08,4.93,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PM
PSX,Phillips 66,Energy,78.50,2.74,9.17,8.56,43.48,57.33,94.12,41.88,5.81,0.44,1.86,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PSX
PNW,Pinnacle West Capital,Utilities,64.49,3.88,17.89,3.60,41.98,56.01,73.31,7.15,1.36,2.05,1.53,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PNW
PXD,Pioneer Natural Resources,Energy,115.78,0.06,22.26,5.20,60.08,105.83,181.97,17.29,2.25,5.69,2.08,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PXD
PBI,Pitney Bowes,Industrials,20.28,3.63,10.68,1.90,0.72,18.59,24.54,4.00,0.84065,1.11,28.38,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PBI
PCL,Plum Creek Timber,Financials,46.66,3.69,35.43,1.32,8.68,36.95,51.63,8.10,0.52,5.10,5.49,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PCL
PNC,PNC Financial Services,Financials,92.38,2.14,12.53,7.37,81.37,81.84,100.52,46.91,0.00,3.14,1.15,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PNC
PPG,PPG Indus,Materials,96.84,1.46,22.76,4.26,18.98,82.93,118.95,26.08,2.50,1.73,5.18,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PPG
PPL,PPL Corp,Utilities,33.99,4.42,23.44,1.45,15.22,29.18,36.74,22.87,4.81,1.99,2.24,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PPL
PX,Praxair,Materials,100.54,2.79,20.50,4.90,14.97,98.55,130.38,28.64,3.63,2.58,6.77,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PX
PCP,Precision Castparts,Industrials,232.745,0.050,24.689,9.427,83.408,186.170,234.050,32.02,2.68,3.308,2.785,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PCP
PCLN,Priceline Group (The),Consumer Discretionary,1209.52,,25.27,47.87,169.93,990.69,1476.52,60.21,3.44,6.65,7.12,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PCLN
PFG,Principal Financial Group,Financials,42.41,3.38,10.34,4.10,32.78,41.67,58.02,12.42,1.81,1.07,1.35,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PFG
PG,Procter & Gamble,Consumer Staples,77.965,3.340,29.343,2.657,22.503,65.020,91.790,212.11,18.21,2.889,3.494,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PG
PGR,"Progressive Corp,Ohio",Financials,31.205,2.160,14.114,2.211,12.763,25.230,33.950,18.24,2.21,0.891,2.461,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PGR
PLD,Prologis,Financials,42.505,3.730,19.224,2.211,27.764,36.260,47.560,22.29,1.34,10.355,1.541,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PLD
PRU,Prudential Financial,Financials,77.35,3.44,10.40,7.44,95.06,73.19,92.60,34.73,9.94,0.57,0.84,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PRU
PSA,Public Storage,Financials,253.24,2.75,42.49,5.96,29.49,182.08,253.93,43.85,1.71,17.88,8.52,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PSA
PEG,Public Svc Enterprises,Utilities,38.67,4.03,10.63,3.64,25.59,36.80,44.45,19.57,4.56,1.81,1.52,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PEG
PHM,PulteGroup,Consumer Discretionary,17.105,2.020,12.871,1.329,13.094,16.790,23.360,5.97,0.7542000000000001,1.053,1.323,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PHM
PVH,PVH Corp,Consumer Discretionary,73.08,0.20,12.45,5.87,55.38,71.99,122.14,5.99,0.9469,0.77,1.35,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PVH
QRVO,Qorvo,Information Technology,45.58,,59.89,0.76,40.52,42.24,88.35,6.44,0.67889,2.78,1.17,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=QRVO
QCOM,QUALCOMM,Information Technology,48.3863,3.8400,15.0268,3.2200,20.6170,45.9300,75.3000,72.73,8.67,2.9216,2.3835,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=QCOM
PWR,Quanta Services,Industrials,19.495,,10.735,1.816,19.527,18.460,30.610,3.11,0.60592,0.398,0.997,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PWR
DGX,Quest Diagnostics,Health Care,70.19,2.14,14.37,4.88,31.87,60.07,89.00,10.06,1.49,1.35,2.22,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DGX
RL,Ralph Lauren Corp,Consumer Discretionary,108.04,1.79,16.83,6.42,44.99,103.29,179.57,9.15,1.23,1.25,2.46,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RL
RRC,Range Resources,Energy,24.55,0.65,,-0.68,18.57,20.79,65.53,4.08,1.23,3.15,1.38,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RRC
RTN,Raytheon Co,Industrials,126.66,2.15,18.65,6.79,33.71,95.32,129.99,38.14,3.29,1.64,3.73,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RTN
O,Realtyome,Financials,52.22,4.44,47.69,1.10,23.71,43.15,55.54,13.03,0.8998200000000001,12.96,2.21,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=O
RHT,Red Hat,Information Technology,81.55,,79.17,1.03,7.36,62.43,84.44,14.91,0.36398,7.59,11.14,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RHT
REGN,Regeneron Pharmaceuticals,Health Care,522.215,,103.143,5.063,31.901,393.000,605.930,53.97,1.32,13.814,15.955,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=REGN
