Symbol,Name,Sector,Price,Dividend Yield,Price/Earnings,Earnings/Share,Book Value,52 week low,52 week high,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings
DOV,Dover Corp,Industrials,59.5947,2.7400,10.7243,5.5570,23.0140,55.5000,78.2100,9.24,1.38,1.2944,2.6275,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DOV
DOW,Dow Chemical,Materials,48.4599,3.5700,12.4512,3.8920,17.5490,35.1100,57.1000,56.15,8.64,1.1104,2.8235,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DOW
DPS,Dr. Pepper Snapple Group,Consumer Staples,94.00,2.06,24.96,3.77,11.62,71.76,95.26,17.76,1.44,2.82,8.04,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DPS
DTE,DTE Energy,Utilities,79.54,3.64,15.05,5.29,49.10,73.23,92.27,14.28,2.55,1.31,1.63,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DTE
DD,Du Pont (E.I.),Materials,63.10,2.28,19.94,3.16,12.29,47.11,76.59,55.30,5.53,1.75,5.23,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DD
DUK,Duke Energy,Utilities,71.66,4.62,20.63,3.47,57.90,65.50,89.97,49.33,8.99,2.12,1.24,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DUK
DNB,Dun & Bradstreet,Industrials,100.1501,1.7800,19.7808,5.0630,-32.0230,99.4300,137.2500,3.62,0.426,2.1512,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DNB
ETFC,E Trade Financial,Financials,28.32,,37.76,0.75,20.01,21.01,31.48,8.23,0.00,4.56,1.43,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ETFC
EMN,Eastman Chemical,Materials,66.0675,2.7300,13.3821,4.9370,26.0890,62.8400,83.9000,9.82,2.28,1.0206,2.5723,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EMN
ETN,Eaton Corp Plc,Industrials,50.96,4.23,11.78,4.32,33.20,49.21,73.82,23.58,3.40,1.12,1.56,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ETN
EBAY,eBay,Information Technology,26.65,,14.49,1.84,5.40,22.11,29.83,32.00,4.89,1.77,4.84,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EBAY
